customer_id,signup_date,age,gender,city,state,income_band,loyalty_tier,preferred_channel,marketing_opt_in
C0001,2023-01-14,24,F,Bengaluru,KA,Mid,Silver,Online,Yes
C0002,2022-07-09,31,M,Delhi,DL,High,Gold,Online,Yes
C0003,2024-03-02,45,F,Chennai,TN,Mid,Silver,Store,No
C0004,2021-11-21,28,F,Pune,MH,Low,Bronze,Online,Yes
C0005,2020-05-18,52,M,Kolkata,WB,Mid,Gold,Store,Yes
C0006,2023-09-30,37,F,Hyderabad,TS,High,Gold,Online,Yes
C0007,2022-02-11,26,M,Noida,UP,Mid,Silver,Store,Yes
C0008,2024-06-06,33,F,Ahmedabad,GJ,Mid,Bronze,Online,No
C0009,2021-08-28,41,M,Mumbai,MH,High,Platinum,Online,Yes
C0010,2022-12-19,29,F,Jaipur,RJ,Low,Bronze,Store,Yes
C0011,2023-04-07,35,M,Chandigarh,CH,Mid,Silver,Online,Yes
C0012,2020-10-03,47,F,Delhi,DL,High,Platinum,Store,No
C0013,2024-01-25,22,M,Pune,MH,Low,Bronze,Online,Yes
C0014,2023-06-13,39,F,Chennai,TN,Mid,Gold,Store,Yes
C0015,2021-03-29,58,M,Bengaluru,KA,High,Gold,Store,Yes
C0016,2022-09-05,27,F,Mumbai,MH,Mid,Silver,Online,Yes
C0017,2024-07-12,30,M,Hyderabad,TS,Mid,Bronze,Online,Yes
C0018,2023-10-22,44,F,Kolkata,WB,Low,Bronze,Store,No
C0019,2020-02-17,34,M,Delhi,DL,High,Platinum,Online,Yes
C0020,2021-12-08,49,F,Noida,UP,Mid,Gold,Store,Yes
C0021,2023-02-03,25,F,Jaipur,RJ,Low,Bronze,Online,Yes
C0022,2022-05-27,32,M,Ahmedabad,GJ,Mid,Silver,Store,Yes
C0023,2024-04-18,36,F,Mumbai,MH,High,Gold,Online,Yes
C0024,2021-06-15,43,M,Chennai,TN,Mid,Silver,Store,No
C0025,2020-09-09,55,F,Delhi,DL,High,Platinum,Online,Yes
C0026,2022-10-14,29,M,Pune,MH,Mid,Silver,Online,Yes
C0027,2023-12-01,38,F,Bengaluru,KA,Mid,Gold,Store,Yes
C0028,2024-05-20,23,M,Kolkata,WB,Low,Bronze,Online,Yes
C0029,2021-01-11,46,F,Hyderabad,TS,High,Platinum,Online,No
C0030,2022-06-30,40,M,Noida,UP,Mid,Gold,Store,Yes
C0031,2023-03-22,28,F,Delhi,DL,Mid,Silver,Online,Yes
C0032,2020-07-26,51,M,Mumbai,MH,High,Gold,Store,Yes
C0033,2024-02-10,26,F,Ahmedabad,GJ,Low,Bronze,Online,Yes
C0034,2023-08-16,33,M,Chennai,TN,Mid,Silver,Store,Yes
C0035,2021-09-03,57,F,Bengaluru,KA,High,Platinum,Store,No
C0036,2022-11-07,24,M,Jaipur,RJ,Low,Bronze,Online,Yes
C0037,2024-08-02,31,F,Pune,MH,Mid,Silver,Online,Yes
C0038,2023-05-11,42,M,Kolkata,WB,Mid,Gold,Store,Yes
C0039,2021-04-25,48,F,Delhi,DL,High,Gold,Online,Yes
C0040,2022-03-18,36,M,Hyderabad,TS,Mid,Silver,Store,Yes

